Initialized
Press Enter to quit...
Connected
(473.51, 0.10043)
(472.297, 0.0997045)
(470.467, 0.100233)
(469.193, 0.100827)
(468.072, 0.100895)
(467.166, 0.100557)
(466.359, 0.0995841)
(465.413, 0.0982463)
(463.732, 0.0965612)
(460.813, 0.0946419)
(457.272, 0.0922447)
(453.573, 0.0895421)
(449.185, 0.0870152)
(444.738, 0.0843145)
(441.434, 0.0810817)
(439.637, 0.0779852)
(438.384, 0.0755779)
(437.417, 0.0737282)
(436.417, 0.0719217)
(435.749, 0.0706905)
(435.419, 0.0691134)
(435.133, 0.067744)
(434.905, 0.0666557)
(434.716, 0.065752)
(434.57, 0.0647072)
(434.351, 0.0631617)
(434.413, 0.062842)
(434.546, 0.0626198)
(434.707, 0.0624316)
(434.842, 0.0622768)
(434.968, 0.0621908)
(435.097, 0.0622302)
(435.202, 0.0623603)
(435.447, 0.0623317)
(435.564, 0.0623163)
(435.651, 0.0622592)
(436.592, 0.0616258)
(437.441, 0.0612457)
(438.621, 0.0606073)
(439.575, 0.0597938)
(440.239, 0.0595565)
(440.803, 0.0588086)
(441.267, 0.0580869)
(441.757, 0.0574314)
(442.463, 0.0564395)
(443.29, 0.0556679)
(444.121, 0.0545955)
(444.695, 0.0537628)
(444.981, 0.0527062)
(444.213, 0.0222025)
(443.833, 0.00195812)
(443.276, 0)
(439.479, 0)
(438.157, 0)
(437.577, 0)
(437.267, 0)
(437.111, 0)
(437.168, 0)
(437.244, 0)
(437.308, 0)
(437.365, 0)
(437.375, 0)
(437.364, 0)
(437.299, 0)
(437.212, 0)
(437.118, 0)
(437.041, 0)
(436.986, 0)
(437.096, 0)
(437.203, 0)
(437.337, 0)
(437.448, 0)
(437.611, 0)
(437.744, 0)
(437.831, 0)
(437.811, 0)
(437.713, 0)
(437.373, 0)
(437.198, 0)
(437.079, 0)
(436.998, 0)
(436.918, 0)
(436.847, 0)
(436.764, 0)
(436.667, 0)
(436.563, 0)
(436.448, 0)
(436.328, 0)
(436.194, 0)
(436.025, 0)
(435.866, 0)
(435.717, 0)
(435.555, 0)
(435.386, 0)
(435.216, 0)
(435.057, 0)
(434.926, 0)
(434.796, 0)
(434.672, 0)
(434.475, 0)
(434.267, 0)
(433.957, 0)
(433.553, 0)
(433.152, 0)
(432.714, 0)
(432.316, 0)
(431.753, 0)
(430.741, 0)
(429.862, 0)
(428.91, 0)
(427.248, 0)
(425.071, 0)
(423.561, 0)
(422.813, 0)
(424.286, 0)
(423.497, 0)
(420.223, 0)
(419.633, 0)
(412.971, 0.0204247)
(440.261, 0.0990036)
(468.812, 0.112384)
(475.523, 0.128598)
(482.081, 0.150888)
(485.549, 0.171484)
(495.197, 0.210109)
(509.724, 0.266234)
(509.694, 0.280725)
(509.832, 0.291882)
(510.603, 0.302314)
(512.018, 0.313846)
(513.641, 0.325432)
(515.696, 0.336813)
(518.816, 0.347258)
(522.067, 0.358924)
(525.8, 0.372504)
(530.39, 0.387881)
(534.749, 0.404404)
(539.242, 0.41975)
(545.283, 0.435201)
(551.661, 0.451733)
(557.348, 0.467984)
(564.581, 0.485645)
(570.828, 0.502584)
(577.786, 0.517952)
(586.279, 0.532796)
(594.539, 0.54616)
(603.719, 0.560679)
(611.672, 0.571209)
(619.371, 0.580073)
(627.536, 0.587961)
(636.086, 0.595307)
(644.308, 0.601502)
(653.536, 0.608042)
(663.761, 0.615558)
(672.267, 0.622934)
(681.275, 0.630026)
(689.876, 0.635809)
(698.546, 0.641676)
(707.757, 0.649105)
(717.552, 0.657832)
(726.403, 0.6662)
(734.413, 0.674358)
(742.888, 0.682857)
(751.918, 0.692472)
(760.883, 0.702273)
(766.236, 0.713523)
(772.047, 0.723239)
(781.283, 0.730405)
(788.356, 0.740317)
(799.008, 0.747157)
(805.547, 0.754644)
(812.023, 0.760782)
(821.112, 0.766116)
(831.394, 0.771931)
(840.114, 0.777009)
(846.009, 0.780725)
(852.211, 0.784051)
(858.68, 0.78746)
(864.658, 0.790675)
(869.407, 0.792939)
(873.347, 0.794673)
(878.006, 0.796317)
(882.234, 0.797757)
(885.695, 0.799441)
(888.211, 0.800975)
(890.007, 0.802877)
(892.538, 0.805568)
(895.166, 0.808954)
(897.552, 0.812285)
(899.735, 0.815784)
(902.499, 0.819618)
(904.831, 0.823755)
(907.281, 0.828776)
(897.994, 0.837058)
(892.583, 0.840588)
(890.55, 0.841911)
(885.73, 0.837868)
(882.881, 0.834972)
(880.051, 0.829691)
(875.147, 0.823729)
(872.368, 0.819382)
(873.631, 0.82852)
(875.885, 0.838265)
(875.798, 0.838492)
(877.176, 0.841059)
(880.51, 0.847286)
(892.156, 0.881732)
(905.585, 0.919581)
(916.158, 0.953632)
(922.688, 0.975089)
(926.139, 0.986561)
(927.758, 0.988804)
(927.837, 0.98913)
(928.408, 0.989003)
(928.604, 0.990487)
(928.774, 0.990241)
(929.135, 0.990009)
(929.341, 0.988908)
(928.15, 0.985279)
(927.131, 0.980866)
(926.266, 0.977216)
(925.83, 0.975273)
(925.428, 0.973533)
(922.653, 0.960549)
(919.817, 0.946877)
(918.21, 0.938713)
(917.153, 0.932516)
(916.822, 0.92892)
(916.649, 0.926407)
(916.468, 0.923867)
(916.473, 0.920614)
(916.538, 0.917609)
(916.854, 0.91536)
(917.389, 0.910574)
(918.817, 0.908474)
(920.095, 0.905643)
(923.295, 0.90293)
(929.651, 0.900167)
(936.326, 0.897174)
(945.893, 0.895404)
(962.465, 0.919806)
(977.188, 0.933596)
(992.599, 0.94125)
(1008.8, 0.943404)
(1025.66, 0.948045)
(1043.05, 0.946093)
(1065.73, 0.946615)
(1089.84, 0.941773)
(1109.26, 0.938075)
(1131.01, 0.936957)
(1152.1, 0.927499)
(1172.46, 0.913359)
(1194.53, 0.908536)
(1218.83, 0.919061)
(1243.88, 0.926623)
(1260.13, 0.919104)
(1280.91, 0.919308)
(1305.88, 0.91512)
(1325.8, 0.901657)
(1343.53, 0.900574)
(1367.69, 0.911664)
(1390.44, 0.900733)
(1408.17, 0.894298)
(1419.51, 0.883603)
(1430.14, 0.881798)
(1445.54, 0.885711)
(1467.06, 0.888284)
(1482.42, 0.882396)
(1498.37, 0.897206)
(1518.19, 0.882068)
(1543.45, 0.876116)
